sku,category name,model_number,name,currency,original price,original stock,max_order_quantity,total_reviews,average_rating,image,url
1001564640,Drills,D25333K,8.5 Amp Corded 1 1/8-inch SDS Plus Rotary Hammer,CAD,439.0,0,,6,5.0,https://images.homedepot.ca/productimages/p_1001564640.jpg,https://www.homedepot.ca/product/dewalt-8-5-amp-corded-1-1-8-inch-sds-plus-rotary-hammer/1001564640
1001557871,Drills,D25262K,1-INCH SDS ROTARY HAMMER KIT,CAD,349.0,0,,17,4.8824,https://images.homedepot.ca/productimages/p_1001557871.jpg,https://www.homedepot.ca/product/dewalt-1-inch-sds-rotary-hammer-kit/1001557871
1001041632,Drills,RH328VC-36K,36V Cordless 1 1/8-inch SDS-Plus Bulldog Rotary Hammer Drill with Charger and Carrying Case,CAD,999.0,0,,16,4.875,https://images.homedepot.ca/productimages/p_1001041632.jpg,https://www.homedepot.ca/product/bosch-36v-cordless-1-1-8-inch-sds-plus-bulldog-rotary-hammer-drill-with-charger-and-carrying-case/1001041632
1001013685,Drills,DCD460T1,"60V MAX FLEXVOLT Lithium-Ion Cordless Brushless 1/2-inch VSR Stud and Joist Drill Kit with E-Clutch System, 6Ah Battery, Charger and Bag",CAD,599.0,0,,92,4.5978,https://images.homedepot.ca/productimages/p_1001013685.jpg,https://www.homedepot.ca/product/dewalt-60v-max-flexvolt-lithium-ion-cordless-brushless-1-2-inch-vsr-stud-and-joist-drill-kit-with-e-clutch-system-6ah-battery-charger-and-bag/1001013685
1001023062,Drills,HDS181B,18V Lithium Ion Cordless Compact Tough Hammer Drill/Driver (Tool Only),CAD,138.0,0,,0,0.0,https://images.homedepot.ca/productimages/p_1001023062.jpg,https://www.homedepot.ca/product/bosch-18v-lithium-ion-cordless-compact-tough-hammer-drill-driver-tool-only-/1001023062
1001015345,Drills,DCF620M2,"20V MAX XR Lithium-Ion Cordless Brushless Drywall Screw Gun Kit with (2) 4Ah Batteries, Charger and Bag",CAD,399.0,0,,17,4.6471,https://images.homedepot.ca/productimages/p_1001015345.jpg,https://www.homedepot.ca/product/dewalt-20v-max-xr-lithium-ion-cordless-brushless-drywall-screw-gun-kit-with-2-4ah-batteries-charger-and-bag/1001015345
1001539831,Drills,GSB18V-535CB25,18V Lithium Ion Cordless Brushless 1/2-inch Compact Hammer Drill/Driver Kit with Battery and Charger,CAD,379.0,0,,0,0.0,https://images.homedepot.ca/productimages/p_1001539831.jpg,https://www.homedepot.ca/product/bosch-18v-lithium-ion-cordless-brushless-1-2-inch-compact-hammer-drill-driver-kit-with-battery-and-charger/1001539831
1000730904,Drills,4204-1,Adjustable Position Electromagnetic Drill Press with 1/2-inch Motor,CAD,1968.0,0,,0,0.0,https://images.homedepot.ca/productimages/p_1000730904.jpg,https://www.homedepot.ca/product/milwaukee-tool-adjustable-position-electromagnetic-drill-press-with-1-2-inch-motor/1000730904
1001560899,Drills,DWH304DH,ONBOARD DUST EXTRACTOR FOR 1 1/8-inch SDS PLUS HAMMERS,CAD,289.0,0,,3,3.6667,https://images.homedepot.ca/productimages/p_1001560899.jpg,https://www.homedepot.ca/product/dewalt-onboard-dust-extractor-for-1-1-8-inch-sds-plus-hammers/1001560899
1001588619,Drills,3590310,120-V 8.6 Amp Corded TE 30 SDS Plus Combi Hammer with TE-CX Drill Bit and DRS-D Dust Removal System,CAD,1389.0,0,,0,0.0,https://images.homedepot.ca/productimages/p_1001588619.jpg,https://www.homedepot.ca/product/hilti-120-v-8-6-amp-corded-te-30-sds-plus-combi-hammer-with-te-cx-drill-bit-and-drs-d-dust-removal-system/1001588619
1001561181,Drills,2805-20,M18 FUEL ONE-KEY 18V Lithium-Ion Brushless Cordless 1/2-inch Drill Driver (Tool Only),CAD,258.0,0,,59,4.7797,https://images.homedepot.ca/productimages/p_1001561181.jpg,https://www.homedepot.ca/product/milwaukee-tool-m18-fuel-one-key-18v-lithium-ion-brushless-cordless-1-2-inch-drill-driver-tool-only-/1001561181
1001274329,Drills,2801-22CT,M18 18V Lithium-Ion Brushless Cordless Compact 1/2-Inch Drill/Driver Kit w/ (2) 2.0 Ah Batteries,CAD,288.0,0,,683,4.6662,https://images.homedepot.ca/productimages/p_1001274329.jpg,https://www.homedepot.ca/product/milwaukee-tool-m18-18v-lithium-ion-brushless-cordless-compact-1-2-inch-drill-driver-kit-w-2-2-0-ah-batteries/1001274329
1001716984,Drills,DCH614X2,60V MAX 1-3/4 IN. Brushless Cordless SDS MAX Combination Rotary Hammer Kit,CAD,1399.0,0,,11,4.6364,https://images.homedepot.ca/productimages/p_1001716984.jpg,https://www.homedepot.ca/product/dewalt-60v-max-1-3-4-in-brushless-cordless-sds-max-combination-rotary-hammer-kit/1001716984
1001028420,Drills,2020087,SD 4500 6.5 Amp Drywall Screwdriver,CAD,349.0,0,,11,4.5455,https://images.homedepot.ca/productimages/p_1001028420.jpg,https://www.homedepot.ca/product/hilti-sd-4500-6-5-amp-drywall-screwdriver/1001028420
1000524154,Drills,0370-20,3/8-inch Close Quarter Angle Drill,CAD,183.0,0,,60,4.3833,https://images.homedepot.ca/productimages/p_1000524154.jpg,https://www.homedepot.ca/product/milwaukee-tool-3-8-inch-close-quarter-angle-drill/1000524154
1001717186,Drills,D25614K,1-3/4 IN. SDS MAX Combination Rotary Hammer Kit,CAD,929.0,0,,5,5.0,https://images.homedepot.ca/productimages/p_1001717186.jpg,https://www.homedepot.ca/product/dewalt-1-3-4-in-sds-max-combination-rotary-hammer-kit/1001717186
1000730915,Drills,4004-20,"Diamond Coring Motor, 300/600 RPM, 20 Amp with Clutch",CAD,1432.0,0,,1,5.0,https://images.homedepot.ca/productimages/p_1000730915.jpg,https://www.homedepot.ca/product/milwaukee-tool-diamond-coring-motor-300-600-rpm-20-amp-with-clutch/1000730915
1001531468,Drills,DDF484Z,"1/2"" Cordless Drill with 18V Brushless Motor (Tool Only)",CAD,159.0,0,,27,4.7778,https://images.homedepot.ca/productimages/p_1001531468.jpg,https://www.homedepot.ca/product/makita-1-2-cordless-drill-with-18v-brushless-motor-tool-only-/1001531468
1000761473,Drills,D25901K,23 lb. SDS Max Demolition Hammer with SHOCKS,CAD,1359.0,0,,2,5.0,https://images.homedepot.ca/productimages/p_1000761473.jpg,https://www.homedepot.ca/product/dewalt-23-lb-sds-max-demolition-hammer-with-shocks/1000761473
1001023013,Drills,DDS181BL,18 V Compact Tough Drill Driver - Tool Only with L-BOXX2,CAD,146.55,0,,3,5.0,https://images.homedepot.ca/productimages/p_1001023013.jpg,https://www.homedepot.ca/product/bosch-18-v-compact-tough-drill-driver-tool-only-with-l-boxx2/1001023013
1001675625,Drills,3590311,120-Volt 8.6 Amp Corded 1-1/8 inch SDS Plus TE 30 AVR Rotary Hammer Drill with TE-CX Bit and DRS,CAD,1389.0,0,,4,4.75,https://images.homedepot.ca/productimages/p_1001675625.jpg,https://www.homedepot.ca/product/hilti-120-volt-8-6-amp-corded-1-1-8-inch-sds-plus-te-30-avr-rotary-hammer-drill-with-te-cx-bit-and-drs/1001675625
1001070437,Drills,DDS181A-01,18V Compact Tough 1/2 Inch Drill/Driver Kit,CAD,279.99,0,,1,5.0,https://images.homedepot.ca/productimages/p_1001070437.jpg,https://www.homedepot.ca/product/bosch-18v-compact-tough-1-2-inch-drill-driver-kit/1001070437
1000730783,Drills,0101-20,1/4-inch Magnum Drill,CAD,219.0,0,,3,5.0,https://images.homedepot.ca/productimages/p_1000730783.jpg,https://www.homedepot.ca/product/milwaukee-tool-1-4-inch-magnum-drill/1000730783
1001023052,Drills,HD21-2,1/2 Inch 2 Speed Hammer Drill,CAD,299.0,0,,32,4.5,https://images.homedepot.ca/productimages/p_1001023052.jpg,https://www.homedepot.ca/product/bosch-1-2-inch-2-speed-hammer-drill/1001023052
